,lat,lon
Rayasandra,12.8795774,77.6719842
Kalkere,13.0350897,77.6738079
T.C. Palya,13.0215083,77.7000989
Makali,13.4392417,77.4890962
Vibuthipura,12.9657268,77.6809824
5th Block Hbr Layout,13.0424951,77.6205992
Pai Layout,12.9820719,77.7480909
Defence Layout,13.0613024,77.5847273
Roopena Agrahara,12.91064,77.6238263
Banashankari Stage V,12.8849238,77.5154846
Coconut Garden,12.96107,77.5190659
Gollahalli,12.821532,77.5852714
Sonnenahalli,12.9433048,77.4801187
D Souza Layout,12.9696296,77.5968003
"ECC Road, Whitefield,",12.9811905,77.7433061
Seetharampalya,12.9813697,77.7086129
Puttanahalli,13.1119851,77.5770582
Benson Town,12.997343,77.6036815
Devasandra Extension,13.0226929,77.5722903
2nd Phase Judicial Layout,12.8653002,77.5372382
1st Block HRBR Layout,13.0215052,77.640534
"Sarjapur Road,",12.9244884,77.6451418
Byadarahalli,12.983302,77.4809397
Judicial Layout,13.0837692,77.5860438
"Varthur Road,",12.9566433,77.7344471
Chikka Banaswadi,13.0057413,77.6508239
Outer Ring Road East,12.9503714,77.6987994
Vinayaka Nagar,12.9872184,77.5230958
Banashankari Stage II,12.8849238,77.5154846
GB Palya,13.0226152,77.7057327
AMS Layout,13.0877316,77.5585759
9th Block Jayanagar,12.9179288,77.5934244
Karuna Nagar,12.9364316,77.5673584
Ashwathnagar,13.026449,77.577938
AGS Layout,12.9127651,77.5340498
Srinagar,12.9438817,77.5541768
Brigade Road,12.975022,77.6079245
Bannerghatta,12.8580243,77.5890385
Devanahalli Road,13.3073721,77.6923379
Green Woods Layout,13.0584954,77.6263659
Craig Park Layout,12.9713834,77.6158386
Immadihalli,12.9663991,77.762046
Banagiri Nagar,12.9228552,77.5586323
Hiremath Layout,12.9754354,77.5358965
Jnanabharathi Layout,12.9354476,77.5124016
Chikkasandra,13.0662756,77.5042779
3rd Block Jayanagar,12.933863,77.5830336
Manjunatha Layout,13.0250058,77.7001393
Konanakunte Cross,12.8901806,77.5641528
Abbaiah Reddy Layout,12.9792262,77.680936
Tavarekere,13.2314286,77.2973275
Thirumenahalli,13.0901794,77.6334125
KPC Layout,12.9041861,77.6778517
HOSUR MAIN ROAD,12.9119344,77.6527229
Nandi Durga Road,12.9995832,77.5999398
Kumara Park,12.9922298,77.5783472
Maruthi Nagar,12.9746062,77.6756305
Marsur,12.7541941,77.7146318
New Thippasandra,12.9736956,77.6536931
Garden Layout,12.9753397,77.6207075
Kumbena Agrahara,13.0017965,77.7473882
Doddanekundi,12.9713194,77.6964768
Venkatadri Layout,12.9479007,77.6994103
Bommenahalli,13.0742536,77.7465943
Andrahalli,13.0085936,77.4830332
Vittal Nagar,12.9012176,77.5550809
3rd Block Banashankari,12.9278196,77.556621
Bhuvaneshwari Nagar,12.9232498,77.5493787
Kadarenahalli,12.9112438,77.5645813
Laggere,13.0108677,77.5207301
Victoria Layout,12.9656579,77.6142682
Prithvi Layout,12.977178,77.7436455
Subramanyanagar,13.003352,77.553763
1 Ramamurthy Nagar,13.0120218,77.6777817
5th Stage BEML Layout,12.910823,77.5207892
Vijinapura,13.007014,77.6678633
P&T Layout,13.0034977,77.6045052
Byrasandra,12.9822173,77.6657841
SBM Colony,12.938813,77.5526032
Veerannapalya,13.0424788,77.613342
Chowdeshwari Layout,12.9169457,77.6340911
Sector 2 HSR Layout,12.9119344,77.6527229
Anantapura,13.1150894,77.5679972
Shivaji Nagar,12.9827691,77.608078
4th Block Koramangala,12.9327778,77.6294052
Belatur,12.9975859,77.7559053
Lalbagh Road,12.9615864,77.5888663
Nallurhalli,12.9766408,77.7248845
Chinnapanahalli,12.9679673,77.7044589
Lingarajapuram,13.0093949,77.6267881
